characterId,캐릭터명,캐릭터 생성 날짜,최고 레벨 달성 날짜,전직명,직업명,전/후,성장속도,성공여부
b607c918f09c2018a8883694799c54a2,N-Celestial,2023-07-04,2023-07-04,아처,眞 트래블러,후,1.0,성공
496965cf856ea882217ddc3f8701a989,너밋넥이,2023-06-30,2023-06-30,프리스트(남),眞 크루세이더,후,1.0,성공
7f2933e6fec1566e89e7c67dffdf19b9,12h3jh12j3bk,2023-07-04,2023-07-04,거너(남),眞 메카닉,후,1.0,성공
d7e744ad7352319ea9c8303360958aab,19시31분,2023-07-15,2023-07-15,아처,眞 트래블러,후,1.0,성공
bd004a6e7bcf624c0b4a2013423d5207,55세슘,2023-07-18,2023-07-18,아처,眞 트래블러,후,1.0,성공
748ed2a8c8358d5a350113d50a43c730,7월의휴가,2023-07-05,2023-07-05,아처,眞 트래블러,후,1.0,성공
b4a00151e4aed97a89dc589a7ede6e00,82년생조성현,2023-07-06,2023-07-11,귀검사(남),眞 버서커,후,6.0,실패
c7af8661e8fcce53a041e9e008f353b4,Amelia트블,2023-04-29,2023-04-30,아처,眞 트래블러,전,2.0,실패
a7b064b0603c34013745e1d868ae6de1,Amelia짜이,2023-06-11,2023-07-01,격투가(남),眞 그래플러,전,21.0,실패
ffef176c45f6705f2e2e3a50676dba25,Amelia뮤즈,2023-07-01,2023-07-01,아처,眞 뮤즈,후,1.0,성공
4a1537520b0fac2e1ca628edef017675,Amelia마도,2023-06-06,2023-06-21,마법사(여),眞 마도학자,전,16.0,실패
05b618f2c6ba900b97960f2a112ed407,Darkelf.,2023-07-10,2023-07-11,도적,眞 사령술사,후,2.0,실패
2ece02668e9496c375d22688933deccd,Dr.Proy,2023-07-13,2023-07-13,아처,眞 트래블러,후,1.0,성공
04af3706ef755a48ca3eaa422ee1cb03,Haru-Bupq,2023-07-06,2023-07-12,마법사(여),眞 인챈트리스,후,7.0,실패
547d7f7fa0159851e902daf53aa8c5d3,YOo반반반1,2023-07-03,2023-07-16,아처,眞 뮤즈,후,14.0,실패
4cedbb33d0880b42cc3c5ad6e507820a,[aLIEz]염황,2023-07-10,2023-07-19,격투가(남),眞 넨마스터,후,10.0,실패
96bb2eddede3ec0c7476c70416a8be36,izis버핏,2023-07-14,2023-07-17,아처,眞 뮤즈,후,4.0,실패
6e32d12dd5702fe50767f52e57e5ba5f,★척산★,2023-07-06,2023-07-08,프리스트(여),眞 크루세이더,후,3.0,실패
